Text Inputs : Specimen label,"S1.104M_LS_CONDYLE"
Notes : Specimen note 1,"Sheep, LS.

Tried testing on the condyle to verify that chipping the bone and gluing it back together does not effect the mechanical properties. Angle of the plane caused it to slip off and test to be void."

Time,Extension,Load,True stress
(sec),(mm),(N),(MPa)
0.59880,-65.62926,-0.68991,0.09808
0.59980,-65.64236,-0.69412,0.09864
0.60080,-65.65547,-0.69953,0.09937
0.60180,-65.66860,-0.70664,0.10034
0.60280,-65.68176,-0.71597,0.10163
0.60380,-65.69492,-0.72807,0.10330
0.60480,-65.70810,-0.74352,0.10545
0.60580,-65.72128,-0.76289,0.10816
0.60680,-65.73446,-0.78674,0.11150
0.60780,-65.74764,-0.81554,0.11554
0.60800,-65.74764,-0.81554,0.11554
0.60880,-65.76079,-0.84978,0.12034
0.60980,-65.77391,-0.88995,0.12598
0.61080,-65.78699,-0.93644,0.13251
0.61180,-65.80001,-0.98956,0.13998
0.61280,-65.81294,-1.04944,0.14839
0.61380,-65.82577,-1.11604,0.15775
0.61480,-65.83848,-1.18920,0.16802
0.61580,-65.85104,-1.26865,0.17919
0.61680,-65.86344,-1.35402,0.19117
0.61780,-65.87564,-1.44484,0.20392
